velo_e	velo_d	v_e_lib	v_d_lib
134.407	201.61	367	364	7.26011
132.197	132.197	360	362	7.27524
136.158	136.158	364	368	7.28992
130.399	130.399	360	359	7.30526
135.025	135.025	280	279	7.32007
151.088	151.088	354	355	7.33993
161.211	161.211	361	352	7.35234
164.951	164.951	357	355	7.37052
197.889	131.926	361	354	7.38568
157.829	157.829	357	355	7.39836
170.171	170.171	351	352	7.41011
198.263	198.263	351	355	7.42524
204.67	136.446	355	364	7.4399
129.665	129.665	360	361	7.45532
203.463	203.463	349	358	7.47007
132.718	132.718	356	364	7.48514
134.748	202.122	275	365	7.49998
132.766	132.766	355	365	7.51504
133.684	200.526	360	366	7.53
140.157	140.157	364	358	7.54427
191.186	127.457	360	363	7.55996
133.059	133.059	359	358	7.58251
233.961	155.974	370	357	7.59533
132.513	132.513	358	353	7.61043
200.197	200.197	362	353	7.63041
172.65	172.65	359	355	7.64778
196.441	196.441	363	355	7.66305
211.004	316.506	363	358	7.67253
127.569	127.569	363	354	7.68821
195.652	293.478	357	353	7.69843
184.821	184.821	360	360	7.71467
173.546	173.546	360	359	7.72619
200.117	133.412	363	365	7.74118
159.751	159.751	364	365	7.75996
128.163	128.163	374	366	7.77557
234.082	156.054	371	368	7.78838
134.633	201.95	351	366	7.80324
190.858	127.238	360	364	7.81896
149.51	149.51	365	360	7.83233
126.022	126.022	371	360	7.8482
129.989	194.984	368	353	7.86359
129.954	129.954	367	352	7.87898
143.553	143.553	369	350	7.89291
129.627	129.627	364	359	7.90834
143.118	143.118	384	360	7.92231
169.522	113.015	370	359	7.94001
167.442	167.442	368	355	7.95196
216.329	216.329	372	359	7.97045
195.239	130.16	367	360	7.98581
159.868	159.868	373	354	7.99832
217.311	217.311	372	361	8.01213
247.193	164.795	366	360	8.02426
133.385	200.077	378	370	8.03926
153.125	153.125	287	369	8.05232
123.379	185.069	370	370	8.06853
144.768	144.768	372	383	8.08234
169.896	169.896	379	380	8.1
228.86	152.573	382	376	8.11311
187.76	125.174	371	375	8.12909
141.541	212.312	370	371	8.14322
130.531	130.531	362	364	8.15854
108.563	162.844	365	352	8.17696
247.472	164.982	362	361	8.18909
131.628	197.442	362	358	8.20428
124.513	124.513	362	355	8.22034
196.107	130.738	364	362	8.23564
208.138	138.759	358	364	8.25005
